pt,charge,rp,phi,eta,calo_energy,Particle_Type,pos,pos_1,dir_1,pos_2,dir_2,detid,front_1,front_2,front_3,front_4,back_1,back_2,back_3,back_4,Error,et,theta,px,py,pz,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,dir,Name,Index,WasRun,Accept,Objects,path,slot,moduleLabel,moduleType,VID,KEY,id,mass
30.5255,1.0,,2.60539,0.721791,,PFTaus,,,,,,,,,,,,,,,,,,,,,2.02377,7.91762,21.0859,0.375036,1.42668,1.0,1.35135,0.787207,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.41469,-1.0,,3.111,-1.0473,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.45071,0.0,1.71095,1.1578,1.1578,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.05776,1.0,,-0.463911,-0.70222,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.54798,0.0,1.0,0.0,0.0,0.0,2.15722,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.83714,1.0,,1.29949,-1.742,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.752654,0.0,2.27391,0.204551,4.03109,4.03109,0.0,1.0366,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.02517,-1.0,,1.63407,0.412359,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.624452,0.792659,2.36537,0.543279,0.802791,0.610954,0.610954,0.725444,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5797,-1.0,,2.93231,2.32977,,PFTaus,,,,,,,,,,,,,,,,,,,,,2.13676,0.0,0.787718,0.739607,1.81514,0.999954,0.999954,1.44403,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.26592,1.0,,0.240631,-0.95737,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.901,1.66179,1.38556,0.669138,1.48721,0.756575,0.0,1.85179,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.89278,1.0,,-2.19516,-1.56938,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,2.75827,1.52358,0.396529,3.19904,1.23259,1.0003,1.49523,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.67063,1.0,,0.63784,0.474116,,PFTaus,,,,,,,,,,,,,,,,,,,,,1.04833,3.12267,0.0,1.0,0.0,0.0,0.0,1.17418,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.3976,-1.0,,2.03746,0.875096,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.838278,3.9951,0.431154,0.957552,1.09084,0.710131,0.380712,0.238175,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.21425,-1.0,,1.27403,0.924117,,PFTaus,,,,,,,,,,,,,,,,,,,,,2.80465,2.23693,1.66823,0.568037,1.82684,0.656348,1.24666,0.980452,,-0.875896,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3093,0.0,,-2.91607,3.61019,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.30154,0.0,,1.55481,2.93582,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.35969,0.0,,-0.200146,4.76372,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.11843,0.0,,-2.87497,-5.0092,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.06949,0.0,,1.09128,-3.84329,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.21251,0.0,,1.40234,3.83042,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3827,0.0,,1.82236,-4.10383,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6464,0.0,,-0.175784,-2.96391,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.6559,0.0,,2.54911,3.11658,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.92559,0.0,,2.21262,2.43455,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.93301,0.0,,-0.849316,2.75269,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.7907,0.0,,-2.711,-3.01825,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0633,0.0,,-1.28367,1.06989,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.94607,0.0,,0.11588,-4.50591,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.24689,0.0,,-1.10216,4.37871,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2171,0.0,,0.720098,2.50129,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.93501,0.0,,2.58342,-4.51903,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.34324,0.0,,-2.68805,2.94792,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.52658,0.0,,-0.639665,4.02049,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.33225,0.0,,-0.816876,-2.9311,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.9118,0.0,,0.771989,3.44874,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.57306,0.0,,-2.9954,4.50884,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2953,0.0,,-1.19839,3.36733,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.73947,0.0,,-2.0244,1.88454,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.64617,0.0,,1.49027,-3.12707,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.58819,0.0,,0.797589,-4.48944,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.56087,0.0,,-0.828066,-4.76042,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.35057,0.0,,1.85389,4.56807,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.8255,0.0,,2.19865,-3.28958,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.868,0.0,,-2.64799,2.363,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.06948,0.0,,2.83902,-3.05812,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.79182,0.0,,-1.53933,-2.77865,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.77228,0.0,,2.66366,-3.82934,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.57297,0.0,,-2.82477,-1.70779,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0332,0.0,,-0.00597929,3.26876,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.5518,0.0,,-0.843371,-3.70507,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.51438,0.0,,-0.307839,-3.98901,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5197,0.0,,-2.0311,3.07759,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.48266,0.0,,-1.91128,4.08298,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.6887,0.0,,0.391196,4.22048,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0664,0.0,,-1.4954,-3.7155,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1445,0.0,,0.701926,-2.9173,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.517,0.0,,2.15906,-0.0125062,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.27808,0.0,,-2.81714,-4.14957,,PFTaus,,,,,,,,,,,,,,,,,,,,,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.87709,-1.0,,0.858028,-2.42495,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.06551,0.0,4.7761,3.23174,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.11687,1.0,,-1.71865,-0.748793,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.553657,0.490917,1.79674,0.670894,0.0,1.73263,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.663585,1.0,,2.08456,1.60059,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.67996,0.0,6.31813,2.56642,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.37122,1.0,,0.123422,-1.54415,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.38556,0.0,3.15786,1.04881,0.865744,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67688,1.0,,-2.73584,1.42878,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.571012,0.650588,0.584834,0.337353,0.0,1.08893,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.67526,-1.0,,-2.59848,-0.571899,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.504457,0.0,1.11942,0.397834,2.42435,1.55368,0.870667,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.73765,1.0,,1.12731,-0.150723,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.531509,1.23964,0.54401,2.15447,2.15447,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.89388,1.0,,2.54528,1.75169,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.561602,0.0,1.0,0.0,0.0,0.0,0.253301,,-999.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.02487,-1.0,,-1.62056,0.262028,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.784067,0.0,2.6537,0.451188,1.76439,0.914691,0.392468,1.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04593,-1.0,,-0.273571,-0.0409727,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,0.800981,0.0,1.0,0.0,0.0,0.0,0.768779,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13917,-1.0,,-1.0244,-2.05508,,PFTaus,,,,,,,,,,,,,,,,,,,,,1.1048,0.0,1.02045,0.0,0.710888,0.710888,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.53401,-1.0,,-2.27489,0.708615,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,1.1984,0.0,1.0,0.0,0.0,0.0,1.03179,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.72272,1.0,,-0.0275442,1.10875,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,1.2624,2.81491,0.174111,2.59723,1.62336,2.59723,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.650455,1.0,,-0.533895,-2.38542,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,1.33744,2.87875,0.269667,8.31006,6.77604,0.857137,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.45866,1.0,,-0.289323,1.85786,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,1.49146,3.44028,0.181891,2.26487,1.95654,0.308332,0.170622,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.04939,-1.0,,0.0565579,-0.175727,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,1.5126,0.0,1.0,0.0,0.0,0.0,1.71402,,-0.745362,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.789917,-1.0,,2.81157,-2.37903,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.0,1.55011,2.22565,0.265103,6.08402,4.31,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.05487,-1.0,,0.190455,0.602438,,PFTaus,,,,,,,,,,,,,,,,,,,,,0.575004,1.30925,2.53018,0.654673,1.1101,0.897741,0.897741,0.897037,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.41603,-1.0,,1.91034,-1.3711,,PFTaus,,,,,,,,,,,,,,,,,,,,,2.65514,0.538266,0.970718,0.485448,0.538819,0.538819,0.0,0.0,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.734311,1.0,,3.04694,0.111739,,PFTaus,,,,,,,,,,,,,,,,,,,,,3.55941,1.65825,1.01534,0.661574,1.97766,1.37917,0.598489,0.380636,,-999.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.611202,1.44288,,Photons,"[0.000703995, 0.000635319, 0.076625]",,,,,,,,,,,,,,,48.8952,,,,,,,,,,,,,,,,,,,,109.26,0.0558328,0.0558328,0.0,73.901,103.011,76.8556,104.567,39.4327,0.00824902,0.00841581,0.706734,0.985122,0.721443,3.54214,5.71633,4.78046,0.935863,0.0,0.0,0.0,0.0,1.77528,2.31613,2.00794,0.308187,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
,,,2.03454,0.841811,,Photons,"[0.000703995, 0.000635319, 0.076625]",,,,,,,,,,,,,,,14.6609,,,,,,,,,,,,,,,,,,,,20.1698,0.0,0.0,0.0,16.1361,19.1512,19.2718,20.1631,14.3497,0.0100572,0.0102635,0.800282,0.949818,0.942878,7.05598,2.67305,2.67305,0.0,0.0,0.0,0.0,0.0,3.94311,2.67305,2.67305,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
5.98292,1.0,,2.57908,0.649284,,GsfElectrons,"[0.000689055, 0.000625204, 0.076688]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-5.06105, 3.19078, 4.16336]",,,,,,,,,,,,,
49.3098,1.0,,-0.599568,1.44493,,GsfElectrons,"[0.000739931, 0.000699775, 0.0762656]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[40.7092, -27.8248, 98.7622]",,,,,,,,,,,,,
1.89388,1.0,,2.54528,1.75169,,TrackerMuons,"[0.000644675, 0.000582735, -0.109277]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.04283,1.0,,3.03598,1.89894,,TrackerMuons,"[0.000692627, 0.000556223, 0.00146818]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.08822,-1.0,,1.2777,1.97298,,TrackerMuons,"[0.000823188, 0.000605636, 0.076419]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.40585,-1.0,,1.17689,1.871,,TrackerMuons,"[0.0133436, -0.0046056, 0.117503]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.82746,1.0,,3.10358,1.91583,,TrackerMuons,"[0.000938866, 0.00693513, -0.027999]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLTriggerFirstPath,0.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_Activity_Ecal_SC7_v13,1.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_L1SingleJet16_v7,2.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_L1SingleJet36_v7,3.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFJet40_v7,4.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFJet80_v8,5.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFJet140_v8,6.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFJet200_v8,7.0,1.0,0.0,,,,,,,,,
,,,,,,TriggerPaths,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLT_PFJet260_v8,8.0,1.0,0.0,,,,,,,,,
