pt,charge,rp,phi,eta,calo_energy,Particle_Type,pos,pos_1,dir_1,pos_2,dir_2,detid,front_1,front_2,front_3,front_4,back_1,back_2,back_3,back_4,Error,et,theta,px,py,pz,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,energy,hadronicOverEm,hadronicDepth1OverEcal,hadronicDepth2OverEcal,e1x5,e2x5,e3x3,e5x5,maxEnergyXtal,sigmaEtaEta,sigmaIetaIeta,r1x5,r2x5,r9,ecalRecHitSumEtConeDR04,hcalTowerSumEtConeDR04,hcalDepth1TowerSumEtConeDR04,hcalDepth2TowerSumEtConeDR04,trkSumPtSolidConeConeDR04,trkSumPtHollowConeDR04,nTrkSolidConeDR04,nTrkHollowConeDR04,ecalRecHitSumEtDR03,hcalTowerSumEtDR03,hcalDepth1TowerSumEtDR03,hcalDepth2TowerSumEtDR03,trkSumPtSolidConeDR03,trkSumPtHollowConeDR03,nTrkSolidConeDR03,nTrkHollowConeDR03,dir,Name,Index,WasRun,Accept,Objects,path,slot,moduleLabel,moduleType,VID,KEY,id,mass
,,,,,,Extras,,"[0.000618209, 0.000692115, -0.0311969]","[-0.570014, -0.970946, -1.87749]","[-1.20493, -0.417543, -2.34368]","[-1.01784, 0.39301, -1.82893]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[-0.000492296, 0.00129783, 0.0762498]","[-0.912808, -1.66744, -1.21015]","[-0.997479, -0.794503, -0.756065]","[-1.79367, -0.502287, -1.18315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000785804, 0.000588618, -0.109082]","[-0.941393, -1.49669, -0.724669]","[-0.168379, -1.26406, -0.654123]","[0.507015, -1.65655, -0.719315]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000533283, 0.000711925, -0.0656717]","[-0.314878, -0.780527, 1.00289]","[-1.26351, -0.17237, 1.74825]","[-0.487115, 0.650054, 0.957063]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000741963, 0.000631315, -0.109226]","[-0.421963, -1.24261, -0.768521]","[-1.01621, -0.770395, -0.90442]","[-1.27231, -0.0585833, -0.749455]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000662007, 0.000657941, -0.0214763]","[-0.30744, -0.863851, 2.37249]","[0.4411, -0.979894, 3.16813]","[0.722027, -0.285189, 2.14567]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000738142, 0.000641011, -0.0343013]","[-0.220451, -2.07526, -0.319481]","[-0.570858, -1.14031, -0.236834]","[-1.51188, -1.39579, -0.321044]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000637787, 0.00064769, -0.0344279]","[-0.0518687, -1.29593, -0.736548]","[-0.761966, -1.02255, -0.798129]","[-1.20065, -0.400082, -0.711827]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000733235, 0.000646363, -0.03084]","[0.102263, -2.83616, 0.602237]","[0.372705, -1.21954, 0.240382]","[1.4872, -2.38316, 0.588822]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000724497, 0.000652929, -0.0495657]","[0.236802, -0.97278, -2.69204]","[-0.451543, -0.981316, -3.16813]","[-0.802412, -0.428045, -2.46217]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000936461, 0.000740855, -0.0310915]","[0.292457, -0.727482, 0.193481]","[-0.970756, -0.826931, 0.377657]","[-0.637599, 0.402629, 0.182849]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Extras,,"[0.000625386, 0.000603722, 0.00351752]","[0.42991, -0.832405, -2.91353]","[-0.136483, -0.947812, -3.16813]","[-0.586072, -0.625799, -2.68486]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
