Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,124616680,G,6.29097,-3.71758,-2.55566,4.3833,4.51129,0.861169,-2.53934,-1,G,5.38467,3.56386,3.1074,2.57419,4.72832,0.520585,0.717083,1,9.35873
165617,125547743,G,10.0779,4.31434,1.17168,-9.03139,4.47061,-1.45262,0.265181,-1,G,8.08716,-5.38322,-0.795409,-5.98158,5.32541,-0.949723,-2.99457,1,10.1634
165617,124638627,G,19.8565,3.09846,2.73315,19.4216,4.13165,2.25198,0.722837,1,G,11.3644,-3.1691,-5.04295,9.67797,5.95605,1.26211,-2.13185,-1,11.0732
165617,124740907,G,6.14883,-3.89816,-1.18346,4.60443,4.07385,0.970537,-2.84684,1,G,7.95859,4.80519,0.588931,6.31596,4.84115,1.08128,0.121953,-1,8.86501
165617,125264314,G,11.6963,7.24065,-1.66252,-9.03329,7.42906,-1.02614,-0.225697,-1,G,4.36494,-4.07495,0.267982,-1.53771,4.08375,-0.368169,3.07592,1,11.5866
165617,125411746,G,12.9331,2.7612,-6.62331,-10.7593,7.17583,-1.19442,-1.17581,1,G,6.21039,-1.75693,4.24791,-4.17448,4.59691,-0.814879,1.96297,-1,11.6964
165617,125470642,G,24.867,4.37108,-2.24111,24.3768,4.91212,2.30507,-0.473766,-1,G,5.98577,-3.12986,3.05702,4.08374,4.37508,0.833493,2.36797,1,11.8189
165617,125648789,G,19.64,1.34798,4.02237,-19.176,4.24223,-2.21374,1.24744,-1,G,4.87686,-2.23593,-3.66311,-2.31405,4.29159,-0.516002,-2.11882,1,11.7615
165617,125792245,G,27.4665,-0.924019,-7.82389,26.3122,7.87827,1.92077,-1.68835,-1,G,43.8064,10.1734,-11.4292,41.0471,15.3012,1.71299,-0.843464,1,9.29097
165617,125098992,G,17.1743,3.95342,-14.2221,-8.77755,14.7614,-0.564214,-1.29966,-1,G,10.3473,6.35867,-7.97072,1.75796,10.1963,0.171568,-0.897426,1,10.4546
165617,125556424,G,6.25677,-2.33995,-4.55933,-3.58792,5.12473,-0.652765,-2.04497,-1,G,5.18556,4.95603,-0.320488,1.48792,4.96638,0.295289,-0.0645762,1,9.79083
165617,125794368,G,6.80537,-4.10013,-1.52634,-5.21164,4.37501,-1.01035,-2.78522,1,G,5.65782,5.29676,0.731668,-1.84628,5.34706,-0.338771,0.137266,-1,10.1712
165617,124866768,G,12.8212,3.96374,2.88616,-11.8461,4.90318,-1.61558,0.629364,-1,G,5.61468,-3.80516,-2.60188,-3.20382,4.60967,-0.648584,-2.54184,1,10.6431
165617,125585935,G,8.35926,-0.868633,4.26934,-7.13332,4.35681,-1.26858,1.77151,1,T,10.7888,-0.156136,-4.66336,-9.72707,4.66597,-1.48088,-1.60427,-1,9.00946
165617,124688745,G,9.84256,4.11697,0.765288,-8.90672,4.18749,-1.49902,0.183789,-1,G,8.78208,-4.30182,-0.672741,-7.62598,4.3541,-1.32661,-2.98646,1,8.57346
165617,124752497,G,4.52827,-0.599568,-4.47175,-0.371458,4.51177,-0.0822383,-1.70408,-1,G,8.31093,0.353621,5.05039,-6.59006,5.06275,-1.07947,1.50089,1,10.7697
165617,125071072,G,10.4484,3.85099,-2.17494,-9.4656,4.42272,-1.50464,-0.514115,1,G,10.6804,-5.09147,4.03214,-8.47816,6.49471,-1.08174,2.47179,-1,10.9298
165617,125132728,G,5.78685,-4.1178,-3.53127,-2.01255,5.42458,-0.362983,-2.43272,-1,G,5.97564,2.83945,3.67858,3.75536,4.64698,0.739004,0.913433,1,11.5613
165617,125901432,G,5.80721,3.51542,-4.5956,0.484527,5.786,0.0836438,-0.917794,-1,G,5.93137,-4.34855,3.85995,-1.16656,5.81456,-0.199305,2.41565,1,11.6659
165617,124625119,G,8.27981,4.23486,0.755054,-7.07389,4.30165,-1.27231,0.176441,-1,G,12.9713,-7.04193,-1.2762,-10.8179,7.15663,-1.20117,-2.96231,1,11.106
165617,125090966,G,10.3491,-5.45566,-1.00029,-8.73653,5.5466,-1.23572,-2.96026,-1,G,5.15023,4.86012,0.99851,-1.37695,4.96163,-0.274077,0.20263,1,11.7299
165617,125145302,G,9.41401,2.52948,3.04012,-8.54235,3.95482,-1.51298,0.876826,-1,G,6.85263,-1.75357,-4.06886,-5.22654,4.43065,-1.00287,-1.97772,1,8.56509
165617,125068633,G,8.7082,-4.30497,0.270813,7.5641,4.31348,1.32768,3.07877,1,G,6.80678,5.92019,0.457231,3.32615,5.93782,0.534367,0.0770793,-1,10.9077
165617,125358553,G,12.7526,0.270543,4.85483,11.7888,4.86236,1.61882,1.51513,1,G,4.09564,-0.575793,-4.02627,0.469833,4.06723,0.115261,-1.71284,-1,11.5243
165617,124977373,G,21.8402,-2.75981,3.61334,21.3614,4.54673,2.25146,2.22306,-1,G,13.9461,4.18234,-3.61802,12.8023,5.5301,1.57625,-0.71318,1,10.558
165617,125302357,G,8.02186,-3.82866,2.33289,-6.65117,4.48341,-1.18558,2.59435,1,G,4.19603,3.6388,-1.68777,-1.2272,4.01117,-0.301364,-0.434291,-1,9.31428
165617,125408525,G,4.75362,-4.35803,-1.50825,-1.14828,4.58278,-0.246462,-2.80812,1,G,7.61586,5.23994,2.39477,-4.97979,5.76124,-0.782141,0.428679,-1,10.6718
165617,125647509,G,6.90242,-2.96518,6.08794,1.33299,6.77166,0.195599,2.02404,1,G,14.9277,-7.24286,7.96179,-10.343,10.7633,-0.853488,2.30895,1,9.68386
165617,125652933,G,7.15167,1.02387,-6.34557,-3.1338,6.42764,-0.47005,-1.41082,1,T,5.27514,0.831772,3.44575,3.90524,3.54472,0.951495,1.33394,1,11.9155
165617,125977027,G,16.9523,5.18178,-0.315774,16.1375,5.19139,1.85221,-0.0608641,-1,G,4.86215,-4.05381,0.528749,2.6299,4.08815,0.605596,3.01189,1,11.0606
165617,125379555,G,17.318,4.59871,1.22611,-16.6508,4.75936,-1.96532,0.26056,1,G,9.99072,-4.08624,-2.53053,-8.75799,4.80634,-1.36116,-2.58712,-1,9.90925
165617,124655044,G,6.58538,-1.77965,-4.17526,-4.77033,4.53872,-0.917001,-1.97371,-1,G,7.82448,1.70434,5.67137,-5.11293,5.92193,-0.781406,1.27887,1,10.3789
165617,124926203,G,18.9483,-2.45764,-5.05071,18.0963,5.61691,1.88634,-2.02366,-1,G,8.87649,1.05796,4.11488,7.79291,4.24871,1.36692,1.31914,1,10.0564
165617,125806579,G,6.29037,-1.39309,-3.90238,-4.73163,4.14359,-0.978252,-1.91368,1,G,5.15424,3.22029,3.99648,-0.461334,5.13246,-0.089765,0.89254,-1,10.0332
165617,124499869,G,7.29879,-3.28718,-0.910353,-6.45189,3.41091,-1.39405,-2.87142,1,G,6.67898,-4.11935,0.484541,5.2339,4.14775,1.05498,3.02451,1,11.7837
165617,124790549,G,7.96515,-0.0117773,6.13813,5.07501,6.13814,0.753458,1.57272,-1,G,4.26576,-0.952531,-3.91099,1.40795,4.02532,0.343008,-1.8097,1,10.0835
165617,125462828,G,4.22522,-2.95194,-2.9533,0.636668,4.17564,0.151887,-2.35596,1,G,7.65234,4.41546,3.83069,-4.93727,5.78146,-0.766957,0.714523,-1,10.9394
165617,125645900,G,10.3545,-2.94661,-3.05045,-9.44551,4.2412,-1.54081,-2.33888,-1,G,9.23798,5.20718,4.32249,-6.28734,6.76746,-0.830307,0.692828,1,11.3849
165617,125995968,G,10.32,-2.29062,-3.28303,9.51141,4.00315,1.60016,-2.17999,1,G,4.58356,2.84239,3.51283,0.76069,4.51876,0.167556,0.890503,-1,10.7816
165617,126435696,G,7.48367,-0.655479,3.79386,6.41648,3.85007,1.28375,1.74188,-1,G,8.98964,1.23249,-4.62484,7.60882,4.71377,1.24313,-1.30959,1,8.58122
165617,127481032,G,12.212,-11.565,-2.62509,-2.91235,8.57843,-0.243542,-2.91529,1,G,7.57702,-5.37911,4.64286,2.62852,7.1057,0.361961,2.42953,-1,10.0175
165617,126062732,G,6.61552,-6.20395,-2.18753,0.692605,6.57832,0.105093,-2.8026,1,G,3.88339,3.85642,0.30257,-0.325574,3.86827,-0.0840661,0.0782984,1,10.0513
165617,126116580,G,59.7532,9.26117,12.1506,-57.7671,15.2776,-2.04022,0.919534,1,G,8.25061,4.57675,2.72135,-6.30151,5.3247,-1.00533,0.536442,-1,10.348
165617,126452668,G,4.99419,2.98634,-3.56181,-1.82376,4.64809,-0.38294,-0.873056,-1,G,4.45834,-2.63436,2.85496,-2.18517,3.88466,-0.536415,2.31603,1,8.52381
165617,126465868,G,12.5328,-3.19753,2.42288,-11.8729,4.0118,-1.80556,2.49316,1,G,6.64879,3.21672,-4.40553,-3.7999,5.4549,-0.649882,-0.940118,-1,10.8796
165617,127434604,G,6.84019,3.39023,2.21876,5.51004,4.05173,1.11446,0.579503,1,G,5.56961,-3.66875,-1.74429,3.80882,4.0623,0.836556,-2.69778,-1,8.17676
165617,126181618,G,5.67647,1.23367,-5.53146,-0.303579,5.66736,-0.0535406,-1.35136,1,G,4.78839,-0.588837,4.42861,1.71993,4.46759,0.376053,1.70298,-1,10.2896
165617,126265026,G,8.45194,4.91596,-1.22218,-6.7649,5.06561,-1.09988,-0.243675,1,G,11.5087,-4.75128,1.42734,-10.384,4.96104,-1.48452,2.84976,-1,10.2115
165617,126383674,G,9.64507,-4.50278,-1.4799,-8.39947,4.73974,-1.33683,-2.82405,-1,G,8.26473,5.7376,1.685,-5.70397,5.97991,-0.848365,0.285646,1,10.9675
165617,126854650,G,7.96662,-3.61257,3.42442,6.21921,4.97768,1.04723,2.38292,-1,G,4.94095,2.33247,-3.98576,1.75363,4.61808,0.37115,-1.04133,1,10.0541
165617,126991970,G,6.5629,-1.44476,-4.19959,-4.83079,4.44116,-0.942068,-1.90214,1,G,4.93327,-3.10058,-1.91922,3.32099,3.6465,0.816824,-2.58733,1,8.47245
165617,127414458,G,6.32881,3.44926,-1.07501,-5.19516,3.6129,-1.15984,-0.302123,1,G,6.72786,2.44892,2.00177,5.93705,3.16296,1.38726,0.685267,-1,11.5879
165617,127025541,G,15.1679,6.7031,-7.24061,11.5194,9.64777,0.995023,-0.824102,-1,T,5.93032,-2.31447,1.00471,5.36576,2.52314,1.49887,2.73204,-1,10.0936
165617,127158261,G,8.47853,2.43961,-3.18912,7.46674,4.01524,1.37902,-0.917777,-1,G,11.4547,-2.19821,4.3086,10.3829,4.83696,1.50732,2.04256,1,8.79862
165617,127468415,G,18.184,2.5794,-5.65188,17.0894,6.21266,1.73653,-1.14265,-1,G,11.7632,6.64871,1.78641,9.5376,6.88452,1.12945,0.262485,1,9.36677
165617,126169240,G,13.8227,-4.56315,0.903033,13.0161,4.65165,1.75261,2.94622,1,G,7.00505,4.25444,-0.546179,5.53724,4.28936,1.07291,-0.12768,-1,9.45237
165617,127215288,G,10.8197,1.86283,-3.78149,-9.96418,4.21542,-1.5954,-1.11307,1,G,12.7358,-0.91277,5.21221,-11.584,5.29153,-1.52516,1.74416,-1,9.35882
165617,125997299,G,7.87615,0.836757,-6.066,-4.95238,6.12344,-0.739492,-1.43372,-1,G,6.84973,-1.02945,5.13526,-4.41328,5.23743,-0.765622,1.76864,1,11.324
165617,126166403,G,8.11542,-3.03313,-4.30472,6.17401,5.26598,0.998206,-2.18461,-1,G,5.46201,1.69366,5.18288,0.302686,5.45259,0.055484,1.25496,1,11.8251
165617,126489971,G,5.87488,-4.00029,-4.22824,-0.789164,5.82068,-0.135167,-2.3285,1,G,4.30035,2.987,2.71683,1.47597,4.03774,0.357856,0.738068,-1,9.98762
165617,127175150,G,5.78432,-2.23811,2.0935,-4.90462,3.06462,-1.2492,2.38957,1,G,5.01732,4.52381,-0.107806,2.16469,4.5251,0.461786,-0.0238263,1,10
165617,126272390,G,14.3187,-2.18144,-4.06148,13.5557,4.61024,1.79941,-2.06369,-1,G,21.2324,3.17785,6.33992,20.0127,7.09178,1.76059,1.10615,1,11.4389
165617,127323782,G,16.7609,3.86042,2.24022,-16.1553,4.46335,-1.99806,0.525811,-1,G,11.2292,-3.71851,-2.84188,-10.2068,4.68013,-1.52172,-2.48903,1,9.38601
165617,126735221,G,10.0996,2.21536,4.6893,-8.6657,5.18627,-1.28597,1.12945,-1,G,8.04462,-1.73757,-3.83726,-6.85281,4.21233,-1.26313,-1.99599,1,9.35073
165617,127078911,G,10.2286,-3.8471,2.69588,-9.08539,4.69766,-1.41374,2.53036,-1,G,7.22865,4.63458,-2.12182,-5.12453,5.0972,-0.885161,-0.429341,1,10.0937
165617,126156443,G,10.2183,-4.8301,-0.385359,-8.99583,4.84544,-1.37758,-3.06198,1,G,9.34829,5.33696,0.217564,-7.6713,5.34139,-1.15884,0.0407429,-1,10.2359
165617,126692779,G,5.37494,-1.64678,5.10962,0.24235,5.36843,0.0451283,1.88257,-1,G,7.52938,-1.26343,-6.60144,3.39193,6.72125,0.485374,-1.7599,1,11.9423
165617,127473123,G,8.53029,5.82681,-4.31469,4.49293,7.2504,0.585627,-0.637387,1,G,4.4825,-2.76722,3.51933,-0.196074,4.47696,-0.0437822,2.23712,-1,11.8691
165617,126294993,G,6.39293,4.97409,-2.8561,-2.82126,5.73575,-0.473931,-0.521229,1,G,4.6024,-4.27804,-1.24073,1.15323,4.45432,0.256092,-2.85931,1,10.0422
165617,126310961,G,17.2589,-4.01948,-2.72176,16.5618,4.85429,1.9412,-2.54637,1,G,12.518,4.27918,2.99747,11.3751,5.22457,1.5202,0.611046,-1,10.298
165617,126583545,G,12.192,2.81461,0.308957,-11.8582,2.83152,-2.13931,0.109331,-1,G,5.03727,-3.88881,-3.07575,-0.883105,4.95813,-0.177184,-2.47241,1,11.2115
165617,126970929,G,8.67859,1.17042,-4.9022,-7.06437,5.03999,-1.13895,-1.33643,-1,G,5.21365,-0.625255,4.00307,-3.27956,4.0516,-0.740029,1.72574,1,9.21368
165617,127164105,G,30.2048,-5.63347,3.2264,29.4987,6.49197,2.21882,2.62147,-1,G,10.9041,3.95488,-2.46931,9.85641,4.66247,1.49348,-0.558146,1,11.7356
165617,126229529,G,7.71347,0.340486,4.24541,6.43016,4.25905,1.20017,1.49077,1,T,4.21292,0.358819,-4.19035,0.223013,4.20569,0.0530017,-1.48537,-1,9.8733
165617,127069689,G,8.9749,3.90281,-3.18165,-7.42851,5.03536,-1.18097,-0.683953,-1,G,7.65924,-4.08081,4.50742,-4.6565,6.08028,-0.705767,2.30656,1,11.3516
165617,127476225,G,5.66806,-4.81751,-2.57416,-1.51031,5.46212,-0.2731,-2.65086,1,G,4.39745,3.42467,2.08978,-1.79745,4.01193,-0.43425,0.547897,-1,9.39141
165617,126004682,G,10.512,-4.42427,-2.15745,9.28772,4.92227,1.39187,-2.68788,-1,G,9.88264,3.86645,2.80326,8.65146,4.77574,1.35603,0.627322,1,9.66427
165617,126100466,G,34.8101,-13.7694,10.4959,-30.1989,17.3136,-1.32303,2.49029,1,G,37.4206,-14.8925,19.5397,-28.226,24.568,-0.982839,2.22204,-1,8.95396
165617,127523762,G,11.1003,-4.36771,2.09843,9.98629,4.84565,1.47053,2.69371,1,G,12.7403,5.19678,-1.6202,11.5184,5.44349,1.49434,-0.30222,-1,10.2474
165617,128127426,G,5.41953,2.35916,4.03017,2.74813,4.6699,0.55892,1.0412,-1,G,5.16995,-2.52028,-4.34876,-1.20569,5.02628,-0.237635,-2.09604,1,10.4705
165617,128546836,G,10.9637,5.71957,-0.157912,-9.35159,5.72175,-1.26707,-0.0276021,1,G,10.8477,-5.50305,-0.0532315,-9.34746,5.5033,-1.30007,-3.13192,-1,11.2245
165617,127999352,G,7.9565,-3.11487,3.30583,6.53176,4.48129,1.16008,2.32669,1,G,21.5388,4.0644,-3.10555,20.9224,5.11505,2.1164,-0.652456,-1,10.7379
165617,128106616,G,5.51872,-4.52512,-2.96602,1.08221,5.41054,0.198709,-2.56139,-1,G,6.50316,4.74551,3.92593,2.08499,6.15896,0.332375,0.691164,1,11.5553
165617,128425304,G,10.0716,5.55153,-0.435137,-8.39152,5.56855,-1.19861,-0.0782216,1,G,6.52974,-4.65699,-0.267084,-4.56809,4.66464,-0.866662,-3.0843,-1,10.3131
165617,128680056,G,7.29252,-0.128184,4.36697,5.83804,4.36885,1.10038,1.60014,-1,G,6.40429,0.548425,-4.9825,3.98468,5.0126,0.728707,-1.46117,1,9.51636
165617,127585845,G,15.6416,-4.58539,2.32241,-14.7725,5.13998,-1.77785,2.67277,-1,G,16.4684,4.41196,-2.73555,-15.6285,5.19121,-1.82178,-0.555018,1,10.3261
165617,128420213,G,4.98335,-0.638749,4.63316,1.71708,4.67699,0.35935,1.7078,-1,G,5.74059,1.38423,-4.94049,-2.57268,5.00539,-0.479549,-1.2947,1,10.6593
165617,128805757,G,7.62704,-5.10999,-1.6087,-5.42776,5.35723,-0.890652,-2.8366,1,G,4.73147,4.12292,0.330746,2.29515,4.13617,0.529768,0.0800498,-1,11.8453
165617,128920053,G,7.71781,4.63989,-0.509059,-6.14538,4.66773,-1.08851,-0.109277,1,G,10.5089,-6.0618,-1.09194,-8.51405,6.15936,-1.12765,-2.96337,-1,10.6175
165617,127717344,G,10.045,-0.798704,-4.48682,-8.95104,4.55736,-1.42746,-1.74696,1,G,5.40862,-0.551252,5.08471,-1.75609,5.11451,-0.336942,1.67879,-1,11.045
165617,127989576,G,11.6395,2.54915,5.57212,9.89551,6.12754,1.25687,1.14174,1,G,11.6668,4.30338,-4.25329,9.97459,6.05059,1.27443,-0.779544,-1,9.9833
165617,127814803,G,24.0423,4.58265,-1.78492,23.5337,4.91799,2.26942,-0.371417,1,G,20.7043,-3.72143,2.39234,20.2258,4.42406,2.2248,2.57026,-1,9.28717
165617,128274907,G,6.92509,-4.7265,3.00121,-4.07413,5.59885,-0.675191,2.57585,-1,G,4.16357,3.37426,-2.25697,-0.919007,4.0595,-0.224494,-0.589533,1,9.77979
165617,128997443,G,22.1561,4.22309,0.28738,21.7477,4.23286,2.33912,0.0679449,1,G,19.7366,-4.96726,-0.570066,19.0925,4.99987,2.04975,-3.02733,-1,9.29725
165617,129066475,G,5.21689,3.55438,-3.12714,-2.18908,4.7342,-0.447329,-0.721542,1,G,6.2307,-2.86755,3.36724,4.3874,4.4228,0.875703,2.27622,-1,11.2109
165617,127730046,G,10.2634,4.41014,-8.86046,2.71457,9.89733,0.270946,-1.10896,1,G,20.0682,17.0702,-8.69692,-5.97441,19.158,-0.307004,-0.471202,-1,11.82
165617,128896349,G,5.66951,-3.77724,-3.18123,-2.78287,4.93839,-0.537291,-2.44164,-1,T,4.50847,3.20803,3.0838,-0.716817,4.44986,-0.160399,0.765656,1,9.53991
165617,127681887,G,11.9713,6.04198,9.30171,4.50253,9.47456,0.395531,0.992825,-1,G,5.36488,4.38073,-1.75431,-2.54998,4.71894,-0.517027,-0.380902,-1,11.4514
165617,128302791,G,23.5116,-0.568233,-5.03267,-22.9594,5.06465,-2.21654,-1.68323,-1,G,15.9021,0.92567,6.01144,-14.6926,6.08229,-1.61543,1.41801,1,11.6054
165617,127711254,G,6.0638,5.3692,-0.406948,2.7865,5.3846,0.496804,-0.0756483,1,G,5.37144,-3.91067,1.53001,3.34768,4.19931,0.730478,2.76866,-1,9.47354
165617,128326470,G,6.53045,-2.54234,-3.66379,-4.76957,4.45946,-0.929701,-2.17742,-1,G,5.40355,2.39016,3.97744,-2.76663,4.64036,-0.565573,1.02969,1,9.24686
165617,128722246,G,9.63933,0.25939,-5.22451,-8.09584,5.23095,-1.22092,-1.52119,-1,G,4.36617,-0.0348807,4.35788,0.244784,4.35802,0.0561391,1.5788,1,11.5634
165617,128807438,G,9.517,6.03425,-0.267538,7.3538,6.04017,1.02712,-0.0443077,1,G,4.49693,-4.34451,1.14619,-0.150798,4.49316,-0.0335555,2.88364,-1,11.8693
165617,128184975,G,11.9962,2.47563,5.34027,10.4524,5.88619,1.3386,1.13671,1,G,6.28638,-1.60832,-3.9317,4.63275,4.24794,0.944002,-1.95909,-1,10.196
165617,128355551,G,5.65563,4.75938,-2.64213,-1.53052,5.44358,-0.277582,-0.506782,-1,G,4.72512,-3.36986,3.16582,0.968077,4.62368,0.207874,2.3874,1,10.2586
165617,128869511,G,33.2063,5.88048,-1.35018,32.6534,6.03349,2.3902,-0.225693,1,G,8.84604,-0.693163,4.06168,7.82711,4.1204,1.39781,1.73983,-1,9.77078
165617,127612036,G,23.9447,0.907827,6.0286,-23.1553,6.09657,-2.04454,1.42133,-1,G,30.6303,-8.07407,0.795864,-29.5361,8.1132,-2.00362,3.04334,1,10.2038
